1:	INT. BARBIZON PLAZA THEATRE - DRESSING ROOM - NIGHT (1964):	['JAKE']
34:	INT. COPACABANA LOUNGE - NIGHT (1947):	['COMEDIAN', "COMEDIAN (CONT'D)", 'JAKE', "JAKE (CONT'D)", 'JANET', 'SALVY', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'WAITER', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'TOMMY', "TOMMY (CONT'D)", 'JAKE', 'TOMMY', 'JAKE', 'TOMMY', 'JAKE', 'TOMMY', 'SALVY', 'TOMMY', 'JAKE', 'TOMMY', 'JAKE', 'TOMMY sips his drink.']
35:	INT. PELHAM PARKWAY HOUSE - BEDROOM - NIGHT:	['JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE', 'JAKE', 'VICKIE freezes.']
36:	INT. WORTH STREET BASEMENT - DAY:	['MANAGERS.', 'EAGAN', "EAGAN (CONT'D)", 'JAKE', 'OFFICIAL follows him.']
37:	INT. THE MEN'S ROOM:	None
38:	INT. WORTH STREET BASEMENT:	['EAGAN', "EAGAN (CONT'D)"]
39:	INT. MADISON SQUARE GARDEN - NIGHT:	['CROWD', 'COMO and SALVY.', 'ANNOUNCER', 'JOEY', 'JAKE', "JAKE (CONT'D)"]
40:	INT. COPACABANA - NIGHT (1947):	['DETROIT PROMOTER', 'JOEY', 'JACKIE CURTIE', 'JOEY', 'DETROIT PROMOTER', 'JACKIE CURTIE', 'JOEY', 'JACKIE CURTIE', 'JOEY', 'DETROIT PROMOTER', 'JOEY', 'DETROIT PROMOTER', 'JACKIE CURTIE', 'DETROIT PROMOTER', 'JOEY', "JOEY (CONT'D)", "JOEY (CONT'D)", 'VICKIE', 'JOEY', 'VICKIE', 'JOEY', 'VICKIE', 'JOEY', 'VICKIE', 'JOEY', 'VICKIE', 'JOEY', 'VICKIE', 'JOEY', "JOEY (CONT'D)", 'SALVY', 'JOEY', 'SALVY', 'JOEY', 'SALVY', 'JOEY', "JOEY (CONT'D)", 'PAUL', 'VICKIE.']
41:	EXT. COPACABANA - NIGHT:	['SALVY', 'JOEY', "JOEY (CONT'D)", 'PATSY', 'PAUL']
42:	INT. THE BACK ROOM OF THE DEBONAIR SOCIAL CLUB:	['COMO', 'JOEY', 'COMO', "COMO (CONT'D)", 'SALVY and PATSY exit.', "COMO (CONT'D)", 'JOEY', 'COMO', 'JOEY', 'COMO', 'JOEY', 'COMO', 'JOEY', 'COMO']
43:	EXT. SHORERAVEN POOL - DAY:	['JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE', 'JOEY', 'JAKE']
